216 offres,tfidf
directeur general,169.492911929
direction generale,81.9826246674
ressources humaines,39.2474878567
developpement commercial,28.5168367345
amelioration continue,22.3742950674
administration affaires,20.7229390994
developpement affaires,15.4002545551
indicateurs performance,15.143620655
developpement competences,12.9802462757
strategie commerciale,12.8550808155
experience management,12.112356322
capacite adaptation,11.8166671676
sens organisation,11.4264343195
service clientele,11.0111321293
sens initiative,10.3447658334
sante securite,9.58695974978
mise place,9.20116766096
avantages sociaux,8.81637792306
gestion personnel,8.5992062884
communication orale,8.16862036646
prise decision,7.70914076223
esprit equipe,7.64003769119
management equipe,7.57218732732
communication ecrite,7.45766956899
experience client,6.57338234358
relations interpersonnelles,6.46388349655
gestion administrative,6.16108222359
permis conduire,5.87090382024
supply chain,5.77467053446
excellente connaissance,1.94735517333
