29 offres,tfidf
assurance dommages,81.2958569329
technologie information,13.2442385419
comptabilite gestion,11.2757237632
assurance commerciale,8.36912735672
hr solutions,8.23523377746
comptes recevoir,5.9429777061
centre appel,5.30192213537
souci travail,4.96254460048
client satisfaction,3.56477492007
client experience,3.11145658002
comptes recevables,3.0133249221
bonne ecoute,2.88716796735
relations humaines,2.73999845759
enseignement universitaire,2.49584730839
mise marche,2.43767012171
gestion dossiers,2.36174203306
communication interpersonnelle,2.26635854001
attitude positive,2.20153911559
